DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.herbig-3d.de/german/variable_stereobasis.htm	1b92d5aba4bb0771e260af3026ff65ce9e55	40	Will man ganz sicher gehen , sollte man in diesem Fall mehrere Aufnahmen mit unterschiedlicher Basis machen . 2. Aufnahmen mit verkleinerter Stereobasis 2.1 Technik . Für Makroaufnahmen in Stereo braucht man eine sehr viel kleinere Basis als den	Augenabstand	. Stilleben sind auch hier leicht mit einer Monokamera fotografierbar , bewegte Objekte dagegen nur mit Spezialausrüstungen , die man entweder selbst bauen muß ( bekannt sind u.a. Geräte von Pat Whitehouse ( GB ) , A.A. Pennings ( NL ) , Fritz Ochotta ( D ) , Fritz Bur am Orde ( D ) oder dem Autor ) , die nur noch selten bei antiquarischen Versteigerungen zu erstehen sind z.B. Realist Macro Stereo Camera oder Nikonos mit MarinSolar ) oder die man seit kurzer Zeit auch von der Firma RBT in Form eines Makrovorsatzgerätes für Spiegelreflex-Stereokameras erwerben kann . Für den ' Stereo-Normalverbraucher ' heißt das zumeist , daß er sich auf Stilleben beschränken muß .	Sg	Ind	Auge	n	1
http://aad-kongress.de/vollseite.php?jahreswahl=2011%26presse_id=145	f7bd91dfb598ee6f374bf28a29868c86e1b4	67	Nicht selten ist es der Augenarzt , der beim Blick auf die geschädigten Netzhautgefäße als erster die Diagnose " Diabetes " stellt . Mit der Früherkennungsuntersuchung beim Augenarzt lassen sich so gleich mehrere das Sehvermögen potenziell gefährdende Krankheiten frühzeitig erkennen - und das Beispiel Diabetes zeigt , dass der	Augenarzt	wertvolle Hinweise auf den allgemeinen Gesundheitzustand des Patienten geben kann . Im Untersuchungszimmer schaut sich der Augenarzt die Augen von Maria P. durch die Spaltlampe genau an : Die Netzhaut und der Sehnervenkopf sind schon mal unauffällig , keine Anzeichen für einen Sehnervenschaden , für AMD-typische Ablagerungen oder für Gefäßschäden , wie sie für den Diabetes charakteristisch sind .	Sg	Ind	Auge	n	1
http://gesundpedia.de/Nystagmus	21525b63fa6724065b7b43bb4762a583e0a4	28	Die aus einer Verletzung resultierenden Narben können die Sehkraft der betroffenen Patienten erheblich beeinträchtigen . Bevor ein Nystagmus behandelt wird , widmen sich die	Augenärzte	der Erstellung einer detaillierten Diagnose . Diagnose und Verlauf von Nystagmus Ein Nystagmus kann grundsätzlich nur von einem fachkundigen Augenarzt diagnostiziert werden .	Pl	Ind	Auge	n	1
http://www.buergerzeitung-nrw.de/fuehrende-augenklinik-in-den-usa-entscheidet-sich-fuer-ifa-systems-ag-20111020.html	7d0e4b23af2fe50efa2eae4e7eaafee36b68	10	Lauderdale , FL , für dieses und weitere Großprojekte aufgebaut . Über Dean McGee Eye Institute : Das Dean McGee Eye Institute ( DMEI ) , die Augenklinik der Universität Oklahoma , zählt mit 40	Augenärzten	und etwa 300 Mitarbeitern zu den führenden ophthalmologischen Einrichtungen in den USA und auch weltweit ( uriblank ) . DMEI bildet alle Bereiche der modernen Augenheilkunde einschließlich Forschung ab .	Pl	Ind	Auge	n	1
http://www.onb.ac.at/sichtungen/beitraege/duerhammer-i-1a.html	ba43b5edd47e8009acb9c1d025fd3450eb53	72	Nun - ich habe sie doch gelesen und dann ist es wie ein Wolkenbruch über mich gekommen und ich habe eine Weile fort fast Tag und Nacht nur Gedichte gedichtet . Ein paar davon schickte ich dann der Frau eines	Augenarztes	der mich als Kind behandelt hatte , sie war nämlich der einzige " gebildete " Mensch den ich kannte . Diese Dame schickte mir eine Schreibmaschine und meine Gedichte an Paula Grogger der ) !	Sg	Ind	Auge	n	1
http://www.rettforum.de/archive/index.php/t-2021.html	1b12d88881cce5fd1a72d129bb7d4af1a247	85	Etwas mehr Infos vom damaligen Augenarzt wären also besser gewesen , denn dann wäre ich mit der Brille bestimmt hartnäckiger geblieben . So bedeutet das , dass Annika jetzt 16 ( ! ) Jahre nicht richtig sehen konnte , und wenn ich ihr jetzt ins Gesicht schaue ... wie sie sich umsieht ... es ist ihr in den ganzen Jahren einiges entgangen . 30.05.2007 , 15:08 hallo , kommen grade von der	Augenärztin	und siehe da : Leonie ist kurzsichtig und hat auch eine Hornhautverkrümmung .. also eine Brillenschlange mehr im Rettland !! : Knutsch Jetzt schläft sie mit ihren riesen Pupillen erstmal und in den nächsten 1 - 3 Tagen werden wir beim Optiker reinschauen ..	Sg	Ind	Auge	n	1
http://www.svenwienstein.de/HTML/3_5mm_okulare.html	35734f4c2e5ca3d195fe059d72e49e33fe12	6	Dementsprechend hoch angesetzt dürfen die Erwartungen zur Verarbeitung sein . LVW und Nagler besitzen " herkömmliche " umklappbare	Augenauflagen	. Das Pentax hat die vom XL bekannte und bewährte , verstellbare Augenauflage .	Pl	Ind	Auge	n	1
http://www.movenyo.de/pages/posts/burlesque-workshops-mit-sweet-chili96.php	64f26a545fad86a530e4596247114af73dd7	37	Sweet Chili versteht es zu locken , zu necken , zu schmeicheln und Appetit zu machen auf alles , was die Herzen der Männer höher schlagen lässt und sicher auch so manche Frau entzückt . Ein kokettes Zwinkern hier , ein lasziver	Augenaufschlag	dort und die Phantasie erlaubt es jedem davon zu träumen , Sweet Chili tanze nur für ihn . Ihre zauberhaften , oppulenten Kostüme verführen das Auge und erwecken die nostalgische Atmosphäre der Salons und Boudoirs der guten alten Zeit zu neuem Leben .	Sg	Ind	Auge	n	1
http://www.kreis-soest.de/gesundheit_verbraucher/verbraucher/tiere/seuchen/tierkrankheiten_und_tierseuchen.php	8cba20b651d42e38c7117fa81149c38c259f	18	Die Bovine Herpesvirus Typ -1 - Infektion kann als respiratorische und / oder genitale Verlaufsform auftreten . Die respiratorische Form ( IBR ) beginnt mit Fieber , Nasenausfluss , später Fressunlust , Husten , Bindehautentzündung mit	Augenausfluss	, Atemnot und nach Sekundärinfektion stellt sich eitriger Nasenausfluss ein . Bei der genitalen Form ( IBP / IBV ) kommt es zu Schwellungen und Rötungen der äußeren Geschlechtsteile , verbunden mit Unruhe , Harndrang , Schmerzen und Scheidenausfluss .	Sg	Ind	Auge	n	1
http://www.oberoesterreich.at/aktivitaeten/ganzjaehrig/gesundheit-wellness/deine-hotelsunterkuenfte/oesterreich/unterkunft/103951/eurothermenresort-bad-hall-hotel-miraverde.html	a2606522fab285e797c4a94321c5d040479b	29	Der Evergreen unter den " Stress - Killern " ! ab 799,00 € Gesundheit zum Kennenlernen Mehr Bewusstsein für IHRE Gesundheit ab 262,00 € Augen-Kur-Tage Nutzen Sie die Bad Haller	Augenbehandlungen	und gönnen Sie Ihren Augen und auch Ihnen selbst etwas Zeit zur Erholung ! ab 613,00 € Etwas ganz Besonderes ...	Pl	Ind	Auge	n	1
