DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://juli-forum.de/archive/index.php/t-3148-p-15.html	6f19ee3e43a95cb2b459baa21dfce897cd56	153	Ja werde ich machen . Ich sage dann die sollen sie in deiner Strasse einsetzten :wink: Obwohl die Briefträgerin sieht besser aus als der Briefträger :roll: 07.03.2005 , 15:44 Wir haben schon ' ne	Briefeausfahrerin	... Ich bekomm ' eh nur Mails ...	Sg	?	Brief	e	1
http://www.spiegel.de/spiegel/print/d-13692668.html	a5cc4a7fea4f6e6e5ee24c573041f9d49f6d	32	" Eigene Denkleistung wird da von mir nicht erwartet , das nervt mich ganz gewaltig . " So wie ihr geht es vielen ausgebildeten Physikern , die sich als Altenpfleger , als Verkäufer oder als	Briefesortierer	bei der Post durchschlagen müssen . Immer mehr Diplomphysiker glauben zudem , sie könnten leichter einen Job in der Industrie finden , wenn sie promovieren , was sich in der Physik gewöhnlich fünf quälend lange Jahre hinzieht .	Sg	Coll	Brief	e	1
http://www.gerichte.sg.ch/home/dienstleistungen/rechtsprechung/aktuelle_entscheide1/entscheide_2010/el_-_ergaenzungsleistungen/el_2009_15.html	e604f57862eb276951b386619e017c409b1b	46	Für die Ehefrau des Beschwerdeführers kämen somit aufgrund der körperlichen Situation sämtliche Arbeiten für ungelernte Hilfskräfte nicht in Frage . Es sei nicht erfindlich , wo sie in der gegenwärtigen wirtschaftlichen Situation eine Anstellung als "	Briefeöffnerin	" oder ähnliches finden sollte , bei welcher sie mit 50 % ein Jahreseinkommen von fast Fr. 30 ' 000. -- erzielen könnte . Die Einschätzung der Beschwerdegegnerin gehe gänzlich an der Realität vorbei .	Sg	Ind	Brief	e	1
http://www.bw-bank.de/privatkunden/1000004919-de.html	920a72c60e234b3c994543c55fe5abe8ca01	12	Rückversicherer Munich Re enttäuscht mit Gewinneinbruch von 62 % . Deutsche Post erhöht dank starkem	Briefegeschäft	Gewinnerwartungen für 2011 . E.ON muss Ergebniseinbußen von 75 % hinnehmen .	Sg	Coll	Brief	e	1
http://www.pcbeirat.de/internet-news/drei-tage-staatstrauer-in-china-schwarzes-google-logo	acfd3731af632cb9c5fb787ece883490b138	25	Es könnte aber durchaus einen spannenden Artikel geben , wenn Du Dir mal Kubuntu runterlädst und ( nur von CD , ohne irgendwas auf Deinem Rechner zu überschreiben ) mal einen Tag lang testest . Ich finde es immer wieder toll , wenn Windowsuser , die dachten , Linux sei nur was für Frickler , verwundert feststellen , daß sie damit wunderbar zurechtkommen ... und es dann bei nächster Gelegenheit ihrer Oma oder der Freundin installieren , weil diese nicht die neuesten Spiele braucht und mit einem legalen , kostenlosen System zum Surfen und	Briefetippern	bestens bedient ist . Also , Testen kostet nichts ... probier es mal aus .	Pl	Ind	Brief	e	1
http://www.pagodentreff.de/diskussionsforum/archive/index.php/t-62.html	2d26930a9935b78d19e1d514004bdd1bd987	12	Ach ja , hab noch was vergessen , es ist etwas umstänlich und unübersichtlich sich durch die Treads zu bewegen . ( Schau Dir mal das bei Beisammen.de an , da " häng " ich fast jeden Tag ein paar Stunden rum bei den CRT 's - Röhrenprojektoren ) So mit Pfeil zum letzten Beitrag , den	Briefesymbolen	als Info etc. Aber ich glaub hier wird 's mir auch ganz gut gefallen !	Pl	Ind	Brief	e	1
http://www.lawblog.de/index.php/archives/2011/10/31/frh-ins-wochenende	83a019ade7752dd7cb472862d92706b67c8f	175	Über neue Verfahren meiner Bank zur " sichereren " Lieferung von iTans per SMS statt Brief kann ich in dem Kontext ebenso lachen , wie über Einschreiben und Nachrichten auf totem Baum mit Zustellungszeiten von mehr als fünf Minuten . Der Steuerzahler meint : ( 1.11.2011 um 18:08 ) Antworten @Statistiker : Lieber Statistiker , wenn Sie sich in den Einschlägigen Foren umhöre werden Sie auch schon vereinzelt Urteile dazu finden , das dieses Mitarbeiter Systematisch ( ? ) gemacht haben . Mit der	Briefevernichtung	bei den Jobcentern und ARGEn ist da so wie mit Polizeigewalt gegen Bürger , man weis das es pasiert aber will es nicht wahr haben und verfolgen . " Sind ja nur die Arbeitsscheuen " ...	Sg	Ind	Brief	e	1
http://www.rossipotti.de/ausgabe07/das_geheime_buch.html	41cbd8018523261f76ea74cfc12ce763b178	126	Herrn Maiteufels Herz klopfte stark und seine Finger zitterten . Vielleicht lud ihn der	Briefefinder	zu sich nach Hause ein ? Vielleicht hatte er einen schönen Bauernhof mit vielen Tieren ?	Sg	Ind	Brief	e	1
http://www.mailfriends.de/anzeigen/brieffreunde/fotografie/1nrq61sq6746ro6p30o7o805402n1sss.html	4cd631ed4f189c4bdb007a8587d556456f43	6	Ich lerne gern neue Leute kennen - ob aus Deutschland oder anderen Ländern ist egal . Du solltest allerdings zwischen 20 und 28 Jahre alt sein , vielleicht genauso eine	Briefefanatikerin	und vielleicht auch etwas Tierlieb . Ansonsten freue ich mich über viele Zuschriften !	Sg	Ind	Brief	e	1
http://karl-v.bsz-bw.de/hilfe_m.htm	a661e15d2a7c452cdb9fa053c80f9b3a8a3a	34	Sie müssen lediglich die beiden Korrespondenzpartner spezifizieren und evt . einen Zeitraum angeben , um unmittelbar die entsprechenden	Briefedaten	in der Detailansicht zu erhalten . Um genauere Eingabehilfen für die einzelnen Formularblöcke zu erhalten , führen Sie die Maus auf das weisse Fragezeichen in der Titelleiste des entsprechenden Formularblocks .	Pl	Ind	Brief	e	1
