subExp,govComp,idx,sentence,opt1,swapped,prodQuotN1,cond,fNoLe,n1,n2,fLe,block,opt2,introloop1.thisRepN,introloop1.thisTrialN,introloop1.thisN,introloop1.thisIndex,introloop2.thisRepN,introloop2.thisTrialN,introloop2.thisN,introloop2.thisIndex,testruns.thisRepN,testruns.thisTrialN,testruns.thisN,testruns.thisIndex,realruns.thisRepN,realruns.thisTrialN,realruns.thisN,realruns.thisIndex,key_resp_2.keys,key_resp_2.rt,rating_2.response,rating_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,rating_3.response,rating_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.28732991219,27,13.181,,,,,,,,,,,,,,,,,2017_Jun_22_1034,60.1377016274,split,001,544,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,12.6752429008,j,8.62931108475,,,,,,,,,,,,,2017_Jun_22_1034,60.1377016274,split,001,544,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.49170994759,,,,,,,,,,,2017_Jun_22_1034,60.1377016274,split,001,544,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,23.045,8,5.45347309113,space,5.55340504646,,,,,2017_Jun_22_1034,60.1377016274,split,001,544,
x,x,54,Bei der Einreise in viele Länder muss man __________ dabei haben.,Einreisevisa,False,0.0,x,0,x,x,0,1,Einreisevisen,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,25.561,8,3.20863389969,2017_Jun_22_1034,60.1377016274,split,001,544,
x,x,52,Beim Lernen einer Sprache gibt es oft erhebliche phonetische __________ .,Anfangschwierigkeiten,False,0.0,x,0,x,x,0,1,Anfangsschwierigkeiten,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,100,11.436,2,3.59001588821,2017_Jun_22_1034,60.1377016274,split,001,544,
x,x,58,Im Magisterstudium musste man mehr __________ schreiben als im BA-Studium.,Seminararbeiten,True,0.0,x,0,x,x,0,1,Seminarsarbeiten,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,0,10.687,1,10.2839579582,2017_Jun_22_1034,60.1377016274,split,001,544,
schreib,x,28,"Maria hat einen Kopfhörer gekauft, nachdem sie ihn __________ hatte.",probegehört,False,0.0,x,0,x,x,0,1,Probe gehört,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,15.475,5,2.14498901367,2017_Jun_22_1034,60.1377016274,split,001,544,
x,x,24,Am Ende von Cindys Party sah man am Horizont schon den __________ der aufgehenden Sonne,Licht-Schein,True,0.0,x,0,x,x,0,1,Lichtschein,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,100,12.628,4,2.99298882484,2017_Jun_22_1034,60.1377016274,split,001,544,
x,x,42,Im Fernrohr sahen wir den roten  __________ ganz deutlich.,Planeten,True,0.0,x,0,x,x,0,1,Planet,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,0,8.712,7,12.7819709778,2017_Jun_22_1034,60.1377016274,split,001,544,
schreib,x,29,"Kim sah sich das Tennisspiel an, solange sie am __________ war.",Tee trinken,True,0.0,x,0,x,x,0,1,Teetrinken,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,70,12.653,2,7.89778208733,2017_Jun_22_1034,60.1377016274,split,001,544,
pl,y,11,Die Düsseldorfer Friedhofsverwaltung hat heute erst eine __________ bearbeitet.,Gräberbuchung,True,0.5313495,sg,0,Grab,Buchung,0,1,Grabbuchung,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,100,17.155,1,3.90519881248,2017_Jun_22_1034,60.1377016274,split,001,544,
x,x,19,Im Urlaub __________ ich jeden Tag bei einem alten Wrack getaucht.,habe,True,0.0,x,0,x,x,0,1,bin,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,100,9.643,5,2.94299817085,2017_Jun_22_1034,60.1377016274,split,001,544,
pl,y,15,Für die Verladung eines LKWs in den Airbus mussten die Techniker eine __________ durchführen.,Lastberechnung,False,0.8331451,sg,3,Last,Berechnung,1,1,Lastenberechnung,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,50,31.237,7,7.03312516212,2017_Jun_22_1034,60.1377016274,split,001,544,
x,x,44,Die Kinder fuhren mit  __________ unzureichenden Helmen zur Schule.,solch,False,0.0,x,0,x,x,0,1,solchen,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,75,14.099,5,1.52979707718,2017_Jun_22_1034,60.1377016274,split,001,544,
x,x,40,"In einer Studie wurde jetzt  __________, dass Aspirin nicht so gut wirkt wie gedacht.",bewiesen,False,0.0,x,0,x,x,0,1,nachgewiesen,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,50,20.749,9,2.09506106377,2017_Jun_22_1034,60.1377016274,split,001,544,
x,x,50,"Verglichen mit Ampeln sind __________ sicherer, aber teurer.",Straßentunnel,False,0.0,x,0,x,x,0,1,Unterführungen,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,65,14.979,2,4.93388199806,2017_Jun_22_1034,60.1377016274,split,001,544,
pl,y,9,Wegen der Gentrifizierung in Berlin gibt es zahlreiche __________ .,Häuserabbrüche,True,0.21190723,pl,5,Haus,Abbrüche,1,1,Hausabbrüche,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,75,15.409,5,1.69607400894,2017_Jun_22_1034,60.1377016274,split,001,544,
x,x,46,"Es waren nur kleinere Delikte,  __________ sie überführt wurden.",derer,True,0.0,x,0,x,x,0,1,deren,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,0,7.633,2,2.95693993568,2017_Jun_22_1034,60.1377016274,split,001,544,
schreib,x,27,"Lara trat zur Seite, um __________.",platzzumachen,False,0.0,x,0,x,x,0,1,Platz zu machen,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,100,5.752,4,3.47508907318,2017_Jun_22_1034,60.1377016274,split,001,544,
