subExp,govComp,idx,sentence,opt1,swapped,prodQuotN1,cond,fNoLe,n1,n2,fLe,block,opt2,introloop1.thisRepN,introloop1.thisTrialN,introloop1.thisN,introloop1.thisIndex,introloop2.thisRepN,introloop2.thisTrialN,introloop2.thisN,introloop2.thisIndex,testruns.thisRepN,testruns.thisTrialN,testruns.thisN,testruns.thisIndex,realruns.thisRepN,realruns.thisTrialN,realruns.thisN,realruns.thisIndex,key_resp_2.keys,key_resp_2.rt,rating_2.response,rating_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,rating_3.response,rating_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.11292386055,50,30.672,,,,,,,,,,,,,,,,,2017_Jun_21_1030,60.1184795742,split,001,493,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.3152589798,j,11.0733268261,,,,,,,,,,,,,2017_Jun_21_1030,60.1184795742,split,001,493,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.22323107719,,,,,,,,,,,2017_Jun_21_1030,60.1184795742,split,001,493,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,10.825,8,5.37044501305,space,8.59603881836,,,,,2017_Jun_21_1030,60.1184795742,split,001,493,
x,x,39,Außer  __________ kann ich leider nichts mitbringen.,dem Essen,False,0.0,x,0,x,x,0,2,das Essen,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,50,29.717,4,3.9905269146,2017_Jun_21_1030,60.1184795742,split,001,493,
x,x,25,Die moderne Kindererziehung ist durch ein starkes __________ gekennzeichnet.,Sicherheitsdenken,True,0.0,x,0,x,x,0,2,Sicherheits-Denken,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,50,9.341,6,2.16156482697,2017_Jun_21_1030,60.1184795742,split,001,493,
x,x,57,Manche Menschen essen tatsächlich gerne ab und zu eine __________ .,Tüte Suppe,False,0.0,x,0,x,x,0,2,Tütensuppe,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,100,11.887,3,2.3611869812,2017_Jun_21_1030,60.1184795742,split,001,493,
pl,n,16,Yannick hat ein Hemd mit einem besonderen __________ anfertigen lassen.,Hemdschlitz,False,0.5650076,sg,0,Hemd,Schlitz,0,2,Hemdenschlitz,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,25,14.515,9,2.52740192413,2017_Jun_21_1030,60.1184795742,split,001,493,
x,x,41,"Jetzt ist genau die richtige Zeit, um  __________ umzusetzen.",Nadel-Hölzer,False,0.0,x,0,x,x,0,2,Nadelhölzer,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,100,12.834,8,5.5341219902,2017_Jun_21_1030,60.1184795742,split,001,493,
coll,n,2,Neben dem __________ in Lankwitz gab es bis vor kurzem noch einen Kiosk.,Bädereingang,True,0.984017,indiv,2,Bad,Eingang,0,2,Badeingang,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,50,12.664,3,4.67218494415,2017_Jun_21_1030,60.1184795742,split,001,493,
